BTW_BUND 17;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Madgeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
137;Paderborn – Gütersloh III;5;247138;247138;247138;247138;176149;176149;176149;176149;4013;2103;2944;2001;172136;174046;173205;174148;102867;102867;89394;89394;40429;40429;40630;40630;6969;6969;9065;9065;11254;11254;12445;12445;;;;;3296;3296;8774;8774;3521;3521;6296;6296;3800;3800;3682;3682;;;1383;1383;;;500;500;;;0;0;;;293;293;;;438;438;;;;;;;257;257;;;;;;;17;17;;;;;;;31;31;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1910;;943;
138;Hagen – Ennepe-Ruhr-Kreis I;5;212903;212903;212903;212903;147183;147183;147183;147183;9862;2595;3466;1737;137321;144588;143717;145446;49329;49329;51328;51328;68044;68044;53380;53380;8181;8181;9820;9820;6521;6521;9806;9806;;;;;4978;4978;6604;6604;0;0;6374;6374;;;3262;3262;;;1611;1611;;;373;373;;;0;0;;;159;159;;;566;566;;;;;;;305;305;;;;;268;268;96;96;;;;;;;33;33;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7267;;1729;
139;Ennepe-Ruhr-Kreis II;5;181174;181174;181174;181174;134749;134749;134749;134749;7413;1897;2573;1600;127336;132852;132176;133149;47530;47530;44028;44028;56197;56197;50946;50946;6743;6743;8498;8498;10964;10964;12071;12071;;;;;2666;2666;5977;5977;;;5178;5178;3003;3003;2951;2951;;;1241;1241;;;197;197;;;0;0;;;187;187;;;487;487;;;;;;;222;222;;;;;233;233;156;156;;;;;;;37;37;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5516;;973;
140;Bochum I;5;210904;210904;210904;210904;154030;154030;154030;154030;10305;2865;2999;1848;143725;151165;151031;152182;53861;53861;46448;46448;66851;66851;58766;58766;10331;10331;12022;12022;10323;10323;14667;14667;;;;;2069;2069;5862;5862;0;0;5820;5820;;;3903;3903;;;1916;1916;;;286;286;;;0;0;;;237;237;;;678;678;;;;;;;245;245;;;;;290;290;145;145;;;;;;;36;36;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7440;;1151;
141;Herne – Bochum II;5;184009;184009;184009;184009;126927;126927;126927;126927;9524;2397;3327;1794;117403;124530;123600;125133;37807;37807;35149;35149;60610;60610;54876;54876;9500;9500;10162;10162;7194;7194;8275;8275;;;;;1894;1894;3528;3528;0;0;4949;4949;;;3078;3078;;;2225;2225;;;217;217;;;0;0;;;156;156;;;480;480;;;;;;;267;267;;;;;398;398;198;198;;;;;;;40;40;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7127;;1533;
142;Dortmund I;5;213946;213946;213946;213946;149031;149031;149031;149031;4092;1562;2690;1546;144939;147469;146341;147485;45310;45310;42712;42712;67019;67019;56180;56180;8835;8835;11653;11653;11042;11042;15827;15827;;;;;2882;2882;6107;6107;5188;5188;6060;6060;3775;3775;4078;4078;;;1894;1894;634;634;437;437;;;0;0;;;172;172;;;731;731;;;;;;;304;304;;;;;254;254;154;154;;;;;;;32;32;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2530;;1144;
143;Dortmund II;5;206701;206701;206701;206701;137503;137503;137503;137503;8627;1850;2616;1501;128876;135653;134887;136002;43688;43688;39604;39604;63388;63388;55683;55683;9340;9340;10568;10568;9228;9228;11328;11328;;;;;2014;2014;5139;5139;0;0;5571;5571;;;3322;3322;;;1894;1894;1218;1218;609;609;;;0;0;;;125;125;;;643;643;;;;;;;297;297;;;;;;;71;71;;;;;;;33;33;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6777;;1115;
144;Unna I;5;200068;200068;200068;200068;148119;148119;148119;148119;4017;1843;2584;1504;144102;146276;145535;146615;52433;52433;46794;46794;68287;68287;60019;60019;7749;7749;9127;9127;8242;8242;11567;11567;;;;;2514;2514;5850;5850;0;0;5525;5525;3535;3535;3189;3189;;;1505;1505;1342;1342;882;882;;;0;0;;;125;125;;;557;557;;;;;;;309;309;;;;;0;0;55;55;;;;;;;31;31;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2174;;1080;
145;Hamm – Unna II;5;238091;238091;238091;238091;167338;167338;167338;167338;5339;2426;3356;1946;161999;164912;163982;165392;64871;64871;60984;60984;71174;71174;63646;63646;9277;9277;10399;10399;8250;8250;9990;9990;;;;;3439;3439;6153;6153;0;0;5523;5523;3930;3930;3465;3465;;;2064;2064;1058;1058;683;683;;;0;0;;;123;123;;;555;555;;;;;;;298;298;;;;;;;66;66;;;;;;;33;33;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2913;;1410;
146;Soest;5;232311;232311;232311;232311;167911;167911;167911;167911;8385;2435;2836;1765;159526;165476;165075;166146;82394;82394;74380;74380;55127;55127;50439;50439;8267;8267;8721;8721;9868;9868;11565;11565;;;;;3870;3870;8218;8218;0;0;5711;5711;;;3410;3410;;;1321;1321;;;229;229;;;0;0;;;204;204;;;467;467;;;;;;;333;333;;;;;;;25;25;;;;;;;52;52;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5950;;1071;
147;Hochsauerlandkreis;5;205948;205948;205948;205948;151727;151727;151727;151727;7111;2123;2508;1681;144616;149604;149219;150046;83952;83952;74530;74530;44682;44682;42054;42054;6159;6159;7055;7055;6308;6308;7161;7161;;;;;2878;2878;7625;7625;0;0;5140;5140;;;2940;2940;;;1269;1269;637;637;533;533;;;0;0;;;173;173;;;359;359;;;;;;;319;319;;;;;;;22;22;;;;;;;39;39;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4988;;827;
148;Siegen-Wittgenstein;5;215751;215751;215751;215751;156569;156569;156569;156569;6400;1812;3014;1673;150169;154757;153555;154896;70833;70833;64307;64307;56510;56510;49563;49563;6891;6891;8920;8920;7808;7808;9937;9937;;;;;3383;3383;7327;7327;4744;4744;7653;7653;;;2722;2722;;;1759;1759;;;243;243;;;0;0;0;0;286;286;0;0;450;450;;;;;;;312;312;;;;;;;41;41;;;;;;;35;35;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4588;;1341;
149;Olpe – Märkischer Kreis I;5;210836;210836;210836;210836;150469;150469;150469;150469;6563;1632;2500;1554;143906;148837;147969;148915;76911;76911;71437;71437;48711;48711;42002;42002;5635;5635;7113;7113;5132;5132;7726;7726;;;;;3586;3586;7694;7694;3931;3931;6151;6151;;;2708;2708;;;1574;1574;;;505;505;;;0;0;;;193;193;;;488;488;;;;;;;312;312;;;;;;;22;22;;;;;;;44;44;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4931;;946;
150;Märkischer Kreis II;5;206189;206189;206189;206189;145197;145197;145197;145197;11392;1695;2852;1637;133805;143502;142345;143560;59768;59768;59536;59536;59821;59821;46318;46318;6926;6926;8463;8463;4498;4498;7971;7971;;;;;2792;2792;6431;6431;;;7122;7122;;;3284;3284;;;1620;1620;;;389;389;;;0;0;;;145;145;;;625;625;;;;;;;363;363;;;;;;;47;47;;;;;;;31;31;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9697;;1215;
5;Nordrhein-Westfalen;99;13253554;13253554;13253554;13253554;9605247;9605247;9605247;9605247;427980;132654;182494;107090;9177267;9472593;9422753;9498157;4148811;4148811;3776563;3776563;3472520;3472520;3028282;3028282;483918;483918;582925;582925;606235;606235;760642;760642;;;;;228962;228962;498027;498027;151405;171511;372258;372258;63695;220636;209507;209507;;;94291;94291;9471;18250;25127;25127;;;0;0;1445;2431;12978;12978;4458;5192;37776;37776;;;;;1748;1748;17622;17622;;;;;4599;4599;4600;4600;;;;;;;2155;2155;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;107780;;75404;
;
151;Nordsachsen;14;168695;168695;168695;168695;112071;112071;112071;112071;10331;2610;2302;1908;101740;109461;109769;110163;49906;49906;49473;49473;22316;22316;16970;16970;23843;23843;22696;22696;3399;3399;3144;3144;;;;;2276;2276;2912;2912;0;0;6762;6762;;;2141;2141;;;4272;4272;;;1158;1158;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;104;104;;;137;137;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7721;;394;
152;Leipzig I;14;210456;210456;210456;210456;138427;138427;138427;138427;10560;2028;2122;1633;127867;136399;136305;136794;54566;54566;50481;50481;29511;29511;25286;25286;31923;31923;29122;29122;7683;7683;9466;9466;;;;;2307;2307;4028;4028;0;0;8394;8394;;;4362;4362;;;3246;3246;0;0;1309;1309;;;0;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;203;203;1877;1877;408;408;0;0;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8532;;489;
153;Leipzig II;14;219865;219865;219865;219865;153935;153935;153935;153935;5171;2075;2131;1748;148764;151860;151804;152187;52077;52077;49553;49553;35515;35515;28778;28778;37750;37750;34302;34302;13732;13732;17075;17075;;;;;2237;2237;4583;4583;0;0;7702;7702;3914;3914;5897;5897;;;2207;2207;0;0;1137;1137;;;0;0;;;0;0;2347;2347;0;0;;;;;;;;;;;;;0;0;221;221;1192;1192;349;349;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3096;;383;
154;Leipzig-Land;14;220400;220400;220400;220400;151537;151537;151537;151537;12062;2797;2827;2332;139475;148740;148710;149205;76273;76273;68348;68348;23542;23542;22681;22681;31865;31865;29716;29716;4905;4905;4899;4899;;;;;2890;2890;4292;4292;0;0;9562;9562;;;2905;2905;;;4513;4513;;;1485;1485;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;137;137;;;172;172;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9265;;495;
155;Meißen;14;207261;207261;207261;207261;145679;145679;145679;145679;9285;2706;3772;2490;136394;142973;141907;143189;76666;76666;64622;64622;18090;18090;18024;18024;25279;25279;26735;26735;4817;4817;5721;5721;;;;;3461;3461;5253;5253;0;0;10195;10195;;;3252;3252;6463;6463;5588;5588;;;1887;1887;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;136;136;1618;1618;494;494;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6579;;1282;
156;Bautzen I;14;223726;223726;223726;223726;155255;155255;155255;155255;18567;3252;4147;3242;136688;152003;151108;152013;74794;74794;69335;69335;17268;17268;18502;18502;32452;32452;30290;30290;3709;3709;4249;4249;;;;;3948;3948;4723;4723;0;0;10811;10811;;;3109;3109;;;6271;6271;4517;4517;3470;3470;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;146;146;0;0;202;202;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15315;;905;
157;Görlitz;14;223614;223614;223614;223614;152944;152944;152944;152944;16893;3261;4006;2983;136051;149683;148938;149961;74204;74204;66106;66106;22741;22741;18839;18839;29550;29550;29380;29380;5045;5045;5044;5044;;;;;2442;2442;4185;4185;0;0;12331;12331;;;3259;3259;;;6360;6360;0;0;2577;2577;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;172;172;2069;2069;685;685;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13632;;1023;
158;Sächsische Schweiz-Osterzgebirge;14;207752;207752;207752;207752;147427;147427;147427;147427;23442;2656;3122;2452;123985;144771;144305;144975;72644;72644;66673;66673;15442;15442;15865;15865;27571;27571;24848;24848;4244;4244;5158;5158;;;;;2628;2628;4655;4655;0;0;11417;11417;;;2980;2980;;;7370;7370;;;4705;4705;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;112;112;1456;1456;522;522;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20786;;670;
159;Dresden I;14;233382;233382;233382;233382;173167;173167;173167;173167;7383;2802;2433;2031;165784;170365;170734;171136;72537;72537;68192;68192;25321;25321;26440;26440;42599;42599;32505;32505;10429;10429;13517;13517;;;;;3305;3305;5243;5243;0;0;11814;11814;5217;5217;6086;6086;5196;5196;3888;3888;;;2413;2413;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;179;179;1180;1180;457;457;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4581;;402;
160;Dresden II – Bautzen II;14;235691;235691;235691;235691;173489;173489;173489;173489;3091;3091;2735;2296;170398;170398;170754;171193;71227;71227;66092;66092;25150;25150;23943;23943;32588;32588;31059;31059;16650;16650;16304;16304;;;;;3471;3471;5405;5405;0;0;11930;11930;7841;7841;7508;7508;5849;5849;4590;4590;6216;6216;3250;3250;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;554;554;273;273;852;852;400;400;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;439;
161;Mittelsachsen;14;210677;210677;210677;210677;145578;145578;145578;145578;12425;2592;2838;2204;133153;142986;142740;143374;74209;74209;64971;64971;22079;22079;19070;19070;29079;29079;29525;29525;4583;4583;4703;4703;;;;;3203;3203;4933;4933;0;0;8997;8997;;;3042;3042;;;5305;5305;;;1848;1848;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;139;139;0;0;207;207;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9833;;634;
162;Chemnitz;14;201249;201249;201249;201249;135876;135876;135876;135876;6362;1701;1885;1348;129514;134175;133991;134528;55909;55909;52380;52380;28101;28101;23558;23558;31992;31992;31014;31014;6475;6475;7168;7168;;;;;2724;2724;3865;3865;0;0;8138;8138;2808;2808;3298;3298;;;3135;3135;;;1081;1081;;;0;0;;;0;0;1505;1505;0;0;;;;;;;;;;;;;;;184;184;0;0;170;170;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4661;;537;
163;Chemnitzer Umland – Erzgebirgskreis II;14;191550;191550;191550;191550;134560;134560;134560;134560;12223;3115;2629;2125;122337;131445;131931;132435;65157;65157;59939;59939;20517;20517;19178;19178;28783;28783;26434;26434;4874;4874;4282;4282;;;;;3006;3006;3594;3594;0;0;9636;9636;;;2522;2522;;;4307;4307;;;1760;1760;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;121;121;;;158;158;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9108;;504;
164;Erzgebirgskreis I;14;232499;232499;232499;232499;161718;161718;161718;161718;15488;3800;3581;2968;146230;157918;158137;158750;79318;79318;73098;73098;19143;19143;20114;20114;32472;32472;30741;30741;5051;5051;3964;3964;;;;;10246;10246;5828;5828;0;0;12119;12119;;;3008;3008;;;6398;6398;;;2551;2551;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;133;133;;;183;183;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11688;;613;
165;Zwickau;14;217679;217679;217679;217679;148305;148305;148305;148305;16238;2723;2729;2251;132067;145582;145576;146054;64857;64857;64872;64872;23033;23033;21686;21686;35847;35847;31061;31061;4334;4334;4653;4653;;;;;3996;3996;3924;3924;;;8878;8878;;;2589;2589;;;4664;4664;;;2690;2690;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;175;175;;;384;384;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13515;;478;
166;Vogtlandkreis;14;201934;201934;201934;201934;138790;138790;138790;138790;11095;2656;2583;2095;127695;136134;136207;136695;65743;65743;60466;60466;28172;28172;21885;21885;26707;26707;27617;27617;3540;3540;4569;4569;;;;;3533;3533;3836;3836;0;0;9095;9095;;;2603;2603;;;4322;4322;;;1537;1537;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;129;129;;;148;148;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8439;;488;
14;Sachsen;99;3406430;3406430;3406430;3406430;2368758;2368758;2368758;2368758;190616;43865;45842;36106;2178142;2324893;2322916;2332652;1080087;1080087;994601;994601;375941;375941;340819;340819;500300;500300;467045;467045;103470;103470;113916;113916;;;;;55673;55673;71259;71259;0;0;157781;157781;19780;57250;58561;58561;17508;99553;76436;76436;10733;27254;34858;34858;;;0;0;0;0;0;0;3852;3852;0;0;;;;;;;;;;;;;554;554;2564;2564;10244;11274;5076;5076;0;0;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9685;;9736;
;
167;Waldeck;6;189728;189728;189728;189728;138632;138632;138632;138632;8653;4931;4676;4216;129979;133701;133956;134416;55444;55444;49063;49063;55217;55217;48420;48420;7253;7253;7356;7356;8486;8486;10872;10872;;;;;3579;3579;6452;6452;0;0;6774;6774;;;2242;2242;;;1159;1159;0;0;1013;1013;;;0;0;;;0;0;;;525;525;;;;;;;;;;;;;;;33;33;;;47;47;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3722;;460;
168;Kassel;6;224555;224555;224555;224555;160695;160695;160695;160695;6077;5232;4658;4216;154618;155463;156037;156479;54674;54674;48361;48361;62178;62178;53232;53232;13066;13066;13680;13680;16559;16559;19884;19884;;;;;3192;3192;6259;6259;0;0;7977;7977;4624;4624;3575;3575;;;1218;1218;0;0;839;839;;;0;0;;;0;0;0;0;796;796;;;;;;;;;;;;;325;325;165;165;;;51;51;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;845;;442;
169;Werra-Meißner – Hersfeld-Rotenburg;6;180203;180203;180203;180203;131446;131446;131446;131446;9307;4632;4554;4193;122139;126814;126892;127253;51386;51386;45872;45872;54630;54630;46913;46913;7277;7277;7584;7584;6333;6333;8868;8868;;;;;2513;2513;5014;5014;0;0;7096;7096;;;1954;1954;;;2013;2013;0;0;961;961;;;0;0;;;0;0;;;521;521;;;;;;;;;;;;;;;41;41;;;55;55;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4675;;361;
170;Schwalm-Eder;6;191354;191354;191354;191354;141665;141665;141665;141665;9626;4836;5133;4684;132039;136829;136532;136981;54162;54162;48747;48747;57944;57944;50052;50052;6890;6890;7442;7442;7884;7884;10498;10498;;;;;3005;3005;6362;6362;0;0;7394;7394;;;2306;2306;;;1532;1532;2154;2154;1592;1592;;;0;0;;;0;0;;;529;529;;;;;;;;;;;;;;;32;32;;;46;46;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4790;;449;
171;Marburg;6;184686;184686;184686;184686;130945;130945;130945;130945;7710;2943;3520;3036;123235;128002;127425;127909;50683;50683;46993;46993;55982;55982;42749;42749;6746;6746;8720;8720;7595;7595;13443;13443;;;;;2229;2229;5111;5111;0;0;5858;5858;;;2206;2206;;;1034;1034;0;0;593;593;;;0;0;;;0;0;;;645;645;;;;;;;;;;;;;;;26;26;;;47;47;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4767;;484;
172;Lahn-Dill;6;210867;210867;210867;210867;146943;146943;146943;146943;7914;4108;4404;3840;139029;142835;142539;143103;68666;68666;59760;59760;49213;49213;43406;43406;6603;6603;7433;7433;8647;8647;10600;10600;;;;;3033;3033;6323;6323;0;0;8315;8315;;;2533;2533;2867;2867;2253;2253;0;0;1250;1250;;;0;0;;;0;0;0;0;566;566;;;;;;;;;;;;;;;37;37;;;63;63;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3806;;564;
173;Gießen;6;215246;215246;215246;215246;156652;156652;156652;156652;9023;4350;4469;3929;147629;152302;152183;152723;67587;67587;59062;59062;54028;54028;45299;45299;7802;7802;9928;9928;11186;11186;14759;14759;;;;;4543;4543;7553;7553;0;0;7444;7444;;;3268;3268;2483;2483;1977;1977;0;0;1982;1982;;;0;0;;;0;0;;;759;759;;;;;;;;;;;;;0;0;59;59;;;93;93;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4673;;540;
174;Fulda;6;209960;209960;209960;209960;154025;154025;154025;154025;7819;4429;4442;3795;146206;149596;149583;150230;87263;87263;76778;76778;37352;37352;33218;33218;6869;6869;6900;6900;8125;8125;10058;10058;;;;;3605;3605;7313;7313;0;0;8711;8711;;;2715;2715;2992;2992;2190;2190;0;0;1033;1033;;;0;0;;;0;0;;;578;578;;;;;;;;;;;;;;;25;25;;;64;64;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3390;;647;
